Experiment,DateTime,Hs,D50,h,Λ,λ,λp,reset2
LEO95,1995-08-24T03:00:00.0,0.4905114256184926,0.00045,12.367183010289898,10.80823959048618,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T03:30:00.0,0.49499730018371263,0.00045,12.290769793702653,11.075263583151331,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T04:00:00.0,0.49296461528392904,0.00045,12.125716680829285,11.134009107282825,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T04:30:00.0,0.5003544030164315,0.00045,12.210071920280829,11.39107534667037,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T05:00:00.0,0.5056660091192609,0.00045,12.254756291530512,11.59178556634365,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T05:30:00.0,0.5067514104641327,0.00045,12.37242720515189,11.530881790135254,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T06:00:00.0,0.5019542944075058,0.00045,12.490876870720747,11.206317320049614,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T06:30:00.0,0.46800354122146426,0.00045,12.636822374466737,9.629148676489416,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T07:00:00.0,0.43645276165597,0.00045,12.783061252791299,8.278794769894223,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T07:30:00.0,0.4230900435637394,0.00045,12.902530691455764,7.707582904272443,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T08:30:00.0,0.42097368358989723,0.00045,13.126682645879423,7.500365098416012,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T09:00:00.0,0.4287499801011012,0.00045,13.231499107972445,7.718389106371708,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T09:30:00.0,0.4273109398312715,0.00045,13.265594897236888,7.646959451371518,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T10:00:00.0,0.4162762663060826,0.00045,13.298936110104437,7.238921989910623,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T10:30:00.0,0.4114828291312199,0.00045,13.26701013864092,7.090189914701953,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T11:00:00.0,0.42012803650369546,0.00045,13.2343877806654,7.409466996204001,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T11:30:00.0,0.42492713776530294,0.00045,13.15661452672698,7.624516003068192,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T12:00:00.0,0.4259002278880676,0.00045,13.078359521645517,7.7053073741521985,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T12:30:00.0,0.43066294076367945,0.00045,12.95457666122289,7.953884364039812,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T13:00:00.0,0.4523689409705581,0.00045,12.830308027884417,8.860861948913824,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T13:30:00.0,0.4732653341628748,0.00045,12.681467040222156,9.812222469998227,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T14:00:00.0,0.47316268845152964,0.00045,12.532363870948076,9.924656409069799,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T14:30:00.0,0.46520806454126057,0.00045,12.42937963649451,9.673252212076468,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T15:00:00.0,0.4597531786407007,0.00045,12.32688748093716,9.526284428476844,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T15:30:00.0,0.4654231642519266,0.00045,12.208696461413728,9.857214054429312,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T16:00:00.0,0.48112017611995506,0.00045,12.09033793864075,10.636437544152818,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T16:30:00.0,0.4945608874331827,0.00045,12.04759060026365,11.278902123999272,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T17:00:00.0,0.5139489801825391,0.00045,12.005265794168338,12.2235043799133,0.9583333333333335,0.9666666666666667,false
LEO95,1995-08-24T17:30:00.0,0.5232004035430211,0.00045,12.04535309025813,12.62536958888277,0.9416666666666665,0.9666666666666667,false
LEO95,1995-08-24T18:00:00.0,0.518789368154099,0.00045,12.085900920932518,12.371734739626353,0.9333333333333332,0.9666666666666667,false
LEO95,1995-08-24T18:30:00.0,0.4963576397067319,0.00045,12.179400897148707,11.238050786449659,0.9416666666666665,0.9666666666666667,false
LEO95,1995-08-24T19:00:00.0,0.4646999374381317,0.00045,12.273196780364794,9.774960822689453,0.9583333333333335,0.9666666666666667,false
LEO95,1995-08-24T19:30:00.0,0.44827496752319146,0.00045,12.417913615676238,8.990168590632772,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T20:00:00.0,0.4416918510384423,0.00045,12.562915008700166,8.627318807363626,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T20:30:00.0,0.45212888327996925,0.00045,12.66802806672816,8.964849059345738,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T21:00:00.0,0.4681009488610377,0.00045,12.772918221813033,9.530515811283824,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T21:30:00.0,0.4828459173017874,0.00045,12.851763708696891,10.078174877586676,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T22:00:00.0,0.4822508320188384,0.00045,12.93046365215679,9.992159739937955,0.9666666666666667,0.9666666666666667,false
LEO95,1995-08-24T22:30:00.0,0.47420291691048505,0.00045,12.963044789885174,9.637156584191166,0.9666666666666667,0.9666666666666667,false
