Experiment,DateTime,Hs,D50,h,Λ,λ,λp,reset2
ASIS,2015-09-01T02:01:25.0,0.77881944,0.001,15.92,9.525121233070251,0.482472039,0.4587270325,false
ASIS,2015-09-01T03:01:25.0,0.72346526,0.001,15.92,8.219252236602822,0.48909602,0.4587270325,false
ASIS,2015-09-01T04:01:25.0,0.66811109,0.001,15.92,7.009617282992904,0.49572,0.4587270325,false
ASIS,2015-09-01T05:01:25.0,0.60311109,0.001,15.92,5.712044391975315,0.553384272,0.4587270325,false
ASIS,2015-09-01T06:01:25.0,0.53811109,0.001,15.92,4.547166224575818,0.611048544,0.4587270325,false
ASIS,2015-09-01T07:01:25.0,0.462125,0.001,15.92,3.3536356096890705,0.498261905,0.4587270325,false
ASIS,2015-09-01T08:01:25.0,0.5474028,0.001,15.92,4.705556304143215,0.457351965,0.4587270325,false
ASIS,2015-09-01T09:01:25.0,0.44070834,0.001,15.92,3.0499975022857346,0.4352,0.4587270325,false
ASIS,2015-09-01T10:01:25.0,0.53464586,0.001,15.92,4.488790760287997,0.429709939,0.4587270325,false
ASIS,2015-09-01T11:01:25.0,0.62858331,0.001,15.92,6.204726407200943,0.424219877,0.4587270325,false
ASIS,2015-09-01T12:01:25.0,0.5296458,0.001,15.92,4.405224143493091,0.399656786,0.4587270325,false
ASIS,2015-09-01T13:01:25.0,0.43070832,0.001,15.92,2.913154160132261,0.375093695,0.4587270325,false
ASIS,2015-09-01T14:01:25.0,0.44931075,0.001,15.92,3.170228487210466,0.385581983,0.4587270325,false
ASIS,2015-09-01T15:01:25.0,0.46791318,0.001,15.92,3.4381712314339254,0.396070271,0.4587270325,false
ASIS,2015-09-01T16:01:25.0,0.48651564,0.001,15.92,3.7169828512030407,0.406558559,0.4587270325,false
ASIS,2015-09-01T17:01:25.0,0.50511807,0.001,15.92,4.006662447244423,0.417046847,0.4587270325,false
ASIS,2015-09-01T18:01:25.0,0.5237205,0.001,15.92,4.307210460431063,0.427535135,0.4587270325,false
ASIS,2015-09-01T19:01:25.0,0.54232293,0.001,15.92,4.618626890762953,0.438023424,0.4587270325,false
ASIS,2015-09-01T20:01:25.0,0.56092536,0.001,15.92,4.940911738240101,0.448511712,0.4587270325,false
ASIS,2015-09-01T21:01:25.0,0.5795278,0.001,15.92,5.274065184875001,0.459,0.4587270325,false
ASIS,2015-09-01T22:01:25.0,0.55834723,0.001,15.92,4.895597192975391,0.531226168,0.4587270325,false
ASIS,2015-09-01T23:01:25.0,0.48881945,0.001,15.92,3.752268446895454,0.6936,0.4587270325,false
ASIS,2015-09-02T00:01:25.0,0.43952778,0.001,15.92,3.0336788535133223,0.358205553,0.4587270325,false
ASIS,2015-09-02T01:01:25.0,0.45464584,0.001,15.92,3.2459616807365834,0.57045465,0.4587270325,false
ASIS,2015-09-02T02:01:25.0,0.4697639,0.001,15.92,3.4654227660679964,0.782703748,0.4587270325,false
ASIS,2015-09-02T03:01:25.0,0.45929167,0.001,15.92,3.31263878975171,0.537848201,0.4587270325,false
ASIS,2015-09-02T04:01:25.0,0.42976388,0.001,15.92,2.900392470990176,0.517902293,0.4587270325,false
ASIS,2015-09-02T05:01:25.0,0.41929168,0.001,15.92,2.760764964152362,0.590330667,0.4587270325,false
ASIS,2015-09-02T06:01:25.0,0.41190973,0.001,15.92,2.6644099508271495,0.542078414,0.4587270325,false
ASIS,2015-09-02T07:01:25.0,0.40452778,0.001,15.92,2.5697664069052824,0.493826161,0.4587270325,false
ASIS,2015-09-02T08:01:25.0,0.39714584,0.001,15.92,2.4768344571184926,0.445573908,0.4587270325,false
ASIS,2015-09-02T09:01:25.0,0.38976389,0.001,15.92,2.385613849684863,0.397321655,0.4587270325,false
ASIS,2015-09-02T10:01:25.0,0.38201234,0.001,15.92,2.29166815188875,0.411499425,0.4587270325,false
ASIS,2015-09-02T11:01:25.0,0.37426081,0.001,15.92,2.1996098288608055,0.425677195,0.4587270325,false
ASIS,2015-09-02T12:01:25.0,0.36650926,0.001,15.92,2.109438405555082,0.439854965,0.4587270325,false
ASIS,2015-09-02T13:01:25.0,0.35875773,0.001,15.92,2.021154347279411,0.454032735,0.4587270325,false
ASIS,2015-09-02T14:01:25.0,0.35100618,0.001,15.92,1.9347571984640768,0.468210505,0.4587270325,false
ASIS,2015-09-02T15:01:25.0,0.34325463,0.001,15.92,1.8502471893284689,0.482388276,0.4587270325,false
ASIS,2015-09-02T16:01:25.0,0.3355031,0.001,15.92,1.767624530615735,0.496566046,0.4587270325,false
ASIS,2015-09-02T17:01:25.0,0.32775155,0.001,15.92,1.6868887959705166,0.510743816,0.4587270325,false
ASIS,2015-09-02T18:01:25.0,0.31999999,0.001,15.92,1.6080401005025144,0.524921586,0.4587270325,false
ASIS,2015-09-02T19:01:25.0,0.31952778,0.001,15.92,1.6032977731113127,0.54954531,0.4587270325,false
ASIS,2015-09-02T20:01:25.0,0.31456712,0.001,15.92,1.5539018998915575,0.524435276,0.4587270325,false
ASIS,2015-09-02T21:01:25.0,0.30960649,0.001,15.92,1.505279187344851,0.499325242,0.4587270325,false
ASIS,2015-09-02T22:01:25.0,0.30464584,0.001,15.92,1.4574291430481405,0.474215208,0.4587270325,false
ASIS,2015-09-02T23:01:25.0,0.29968518,0.001,15.92,1.4103518704716143,0.449105174,0.4587270325,false
ASIS,2015-09-03T00:01:25.0,0.29472455,0.001,15.92,1.3640477445462074,0.42399514,0.4587270325,false
ASIS,2015-09-03T01:01:25.0,0.2897639,0.001,15.92,1.3185162962187502,0.398885106,0.4587270325,false
ASIS,2015-09-03T02:01:25.0,0.2818889,0.001,15.92,1.2478227378016644,0.652719338,0.4587270325,false
ASIS,2015-09-03T03:01:25.0,0.36165279,0.001,15.92,2.0539061010487454,0.550060993,0.4587270325,false
ASIS,2015-09-03T04:01:25.0,0.42858332,0.001,15.92,2.8844796196957034,0.451758297,0.4587270325,false
ASIS,2015-09-03T05:01:25.0,0.36929166,0.001,15.92,2.1415880990194034,0.451337752,0.4587270325,false
ASIS,2015-09-03T06:01:25.0,0.36126009,0.001,15.92,2.0494480626069107,0.438302742,0.4587270325,false
ASIS,2015-09-03T07:01:25.0,0.35322854,0.001,15.92,1.95933419394679,0.425267731,0.4587270325,false
ASIS,2015-09-03T08:01:25.0,0.34519696,0.001,15.92,1.8712459358235176,0.412232721,0.4587270325,false
ASIS,2015-09-03T09:01:25.0,0.33716539,0.001,15.92,1.7851837345140091,0.39919771,0.4587270325,false
ASIS,2015-09-03T10:01:25.0,0.32913384,0.001,15.92,1.7011476858220103,0.3861627,0.4587270325,false
ASIS,2015-09-03T11:01:25.0,0.32110226,0.001,15.92,1.6191372703691518,0.373127689,0.4587270325,false
ASIS,2015-09-03T12:01:25.0,0.31307071,0.001,15.92,1.5391531008150767,0.360092679,0.4587270325,false
ASIS,2015-09-03T13:01:25.0,0.30503914,0.001,15.92,1.46119467543875,0.347057668,0.4587270325,false
ASIS,2015-09-03T14:01:25.0,0.29700759,0.001,15.92,1.3852623825001271,0.334022658,0.4587270325,false
ASIS,2015-09-03T15:01:25.0,0.28897601,0.001,15.92,1.3113557530703532,0.32098764699999993,0.4587270325,false
ASIS,2015-09-03T16:01:25.0,0.28094444,0.001,15.92,1.2394751627970102,0.307952637,0.4587270325,false
ASIS,2015-09-03T17:01:25.0,0.27801985,0.001,15.92,1.2138039728960819,0.338684715,0.4587270325,false
ASIS,2015-09-03T18:01:25.0,0.27509525,0.001,15.92,1.1884013280867227,0.369416794,0.4587270325,false
ASIS,2015-09-03T19:01:25.0,0.27217063,0.001,15.92,1.1632671456437957,0.400148872,0.4587270325,false
ASIS,2015-09-03T20:01:25.0,0.26924604,0.001,15.92,1.1384018538894725,0.430880951,0.4587270325,false
ASIS,2015-09-03T21:01:25.0,0.26632142,0.001,15.92,1.113804942694981,0.461613029,0.4587270325,false
ASIS,2015-09-03T22:01:25.0,0.26339683,0.001,15.92,1.089476916677904,0.492345107,0.4587270325,false
ASIS,2015-09-03T23:01:25.0,0.26047221,0.001,15.92,1.0654172767318482,0.523077186,0.4587270325,false
ASIS,2015-09-04T00:01:25.0,0.27464584,0.001,15.92,1.1845216304853265,0.504058434,0.4587270325,false
ASIS,2015-09-04T01:01:25.0,0.28881943,0.001,15.92,1.3099350368329914,0.485039683,0.4587270325,false
ASIS,2015-09-04T02:01:25.0,0.2591736,0.001,15.92,1.0548202722512563,0.554843012,0.4587270325,false
ASIS,2015-09-04T03:01:25.0,0.22952779,0.001,15.92,0.8273085173097379,0.624646341,0.4587270325,false
ASIS,2015-09-04T04:01:25.0,0.22458681,0.001,15.92,0.7920734174933433,0.636784756,0.4587270325,false
ASIS,2015-09-04T05:01:25.0,0.21964583,0.001,15.92,0.7576050665262075,0.648923171,0.4587270325,false
ASIS,2015-09-04T06:01:25.0,0.21470486,0.001,15.92,0.7239035318407601,0.661061585,0.4587270325,false
ASIS,2015-09-04T07:01:25.0,0.20976388,0.001,15.92,0.6909686770203268,0.6732,0.4587270325,false
ASIS,2015-09-04T08:01:25.0,0.2,0.001,15.92,0.6281407035175881,0.544780328,0.4587270325,false
ASIS,2015-09-04T09:01:25.0,0.19976389,0.001,15.92,0.6266584759411448,0.537995745,0.4587270325,false
ASIS,2015-09-04T10:01:25.0,0.19141667,0.001,15.92,0.5753822480196122,0.422657317,0.4587270325,false
ASIS,2015-09-04T11:01:25.0,0.23356019,0.001,15.92,0.8566325746362453,0.431606504,0.4587270325,false
ASIS,2015-09-04T12:01:25.0,0.2757037,0.001,15.92,1.1936641048004084,0.440555691,0.4587270325,false
ASIS,2015-09-04T13:01:25.0,0.31784722,0.001,15.92,1.58647699845679,0.449504878,0.4587270325,false
ASIS,2015-09-04T14:01:25.0,0.35999075,0.001,15.92,2.035071295313482,0.458454065,0.4587270325,false
ASIS,2015-09-04T15:01:25.0,0.40213427,0.001,15.92,2.5394467824816727,0.467403252,0.4587270325,false
ASIS,2015-09-04T16:01:25.0,0.44427779,0.001,15.92,3.099603559787753,0.476352439,0.4587270325,false
ASIS,2015-09-04T17:01:25.0,0.48642129,0.001,15.92,3.715541321690705,0.485301626,0.4587270325,false
ASIS,2015-09-04T18:01:25.0,0.52856481,0.001,15.92,4.387260652800504,0.494250813,0.4587270325,false
ASIS,2015-09-04T19:01:25.0,0.57070833,0.001,15.92,5.114761274048192,0.5032,0.4587270325,false
ASIS,2015-09-04T20:01:25.0,0.60141665,0.001,15.92,5.679993512833268,0.735435067,0.620750611,true
ASIS,2015-09-04T21:01:25.0,0.65258712,0.001,15.92,6.687656237278492,0.719051574,0.620750611,false
ASIS,2015-09-04T22:01:25.0,0.70375758,0.001,15.92,7.777555455519101,0.70266808,0.620750611,false
ASIS,2015-09-04T23:01:25.0,0.75492805,0.001,15.92,8.94969159354275,0.686284586,0.620750611,false
ASIS,2015-09-05T00:01:25.0,0.80609846,0.001,15.92,10.204062927361363,0.669901092,0.620750611,false
ASIS,2015-09-05T01:01:25.0,0.85726893,0.001,15.92,11.540672398607805,0.653517598,0.620750611,false
ASIS,2015-09-05T02:01:25.0,0.9084394,0.001,15.92,12.95951858467902,0.637134105,0.620750611,false
ASIS,2015-09-05T03:01:25.0,0.95960987,0.001,15.92,14.460601485575014,0.620750611,0.620750611,false
ASIS,2015-09-05T04:01:25.0,1.01078033,0.001,15.92,16.04392078383965,0.604367117,0.620750611,false
ASIS,2015-09-05T05:01:25.0,1.0619508,0.001,15.92,17.70947709831407,0.587983623,0.620750611,false
ASIS,2015-09-05T06:01:25.0,1.11312115,0.001,15.92,19.457265932432826,0.57160013,0.620750611,false
ASIS,2015-09-05T07:01:25.0,1.16429162,0.001,15.92,21.28729548370327,0.555216636,0.620750611,false
